,Time,Part,Operation,Process,Machine,Event
60,175.0,J7,Op_J7_S2,M5,Machine0,job assigned
61,177.0,J2,Op_J2_S2,M4,Machine0,operation complete
62,177.0,J2,Op_J2_S3,M5,,Job transferred
63,177.0,J10,Op_J10_S2,M4,Machine0,job assigned
64,195.0,J6,Op_J6_S2,M3,Machine0,operation complete
65,195.0,J6,Op_J6_S3,M5,,Job transferred
66,201.0,J9,Op_J9_S2,M2,Machine0,operation complete
67,201.0,J9,Op_J9_S3,M5,,Job transferred
68,201.0,J3,Op_J3_S3,M2,Machine0,job assigned
69,217.0,J8,Op_J8_S2,M1,Machine0,operation complete
70,217.0,J8,Op_J8_S3,M2,,Job transferred
71,217.0,J4,Op_J4_S2,M1,Machine0,job assigned
72,243.0,J3,Op_J3_S3,M2,Machine0,operation complete
73,243.0,J3,Op_J3_S4,M3,Machine0,job assigned
74,243.0,J3,Op_J3_S4,M3,,Job transferred
75,243.0,J8,Op_J8_S3,M2,Machine0,job assigned
76,252.0,J7,Op_J7_S2,M5,Machine0,operation complete
77,252.0,J7,Op_J7_S3,M2,,Job transferred
78,252.0,J1,Op_J1_S3,M5,Machine0,job assigned
79,256.0,J10,Op_J10_S2,M4,Machine0,operation complete
80,256.0,J10,Op_J10_S3,M3,,Job transferred
81,256.0,J5,Op_J5_S2,M4,Machine0,job assigned
82,272.0,J4,Op_J4_S2,M1,Machine0,operation complete
83,272.0,J4,Op_J4_S3,M5,,Job transferred
84,274.0,J3,Op_J3_S4,M3,Machine0,operation complete
85,274.0,J3,Op_J3_S5,M1,Machine0,job assigned
86,274.0,J3,Op_J3_S5,M1,,Job transferred
87,274.0,J10,Op_J10_S3,M3,Machine0,job assigned
88,284.0,J8,Op_J8_S3,M2,Machine0,operation complete
89,284.0,J8,Op_J8_S4,M4,,Job transferred
90,284.0,J7,Op_J7_S3,M2,Machine0,job assigned
91,286.0,J3,Op_J3_S5,M1,Machine0,operation complete
92,286.0,J3,,Sink,,Job completed
93,286.0,J3,,Sink,,Job transferred
94,290.0,J5,Op_J5_S2,M4,Machine0,operation complete
95,290.0,J5,Op_J5_S3,M3,,Job transferred
96,290.0,J8,Op_J8_S4,M4,Machine0,job assigned
97,314.0,J8,Op_J8_S4,M4,Machine0,operation complete
98,314.0,J8,Op_J8_S5,M5,,Job transferred
99,317.0,J10,Op_J10_S3,M3,Machine0,operation complete
100,317.0,J10,Op_J10_S4,M2,,Job transferred
101,317.0,J5,Op_J5_S3,M3,Machine0,job assigned
102,347.0,J1,Op_J1_S3,M5,Machine0,operation complete
103,347.0,J1,Op_J1_S4,M4,Machine0,job assigned
104,347.0,J1,Op_J1_S4,M4,,Job transferred
105,347.0,J2,Op_J2_S3,M5,Machine0,job assigned
106,363.0,J2,Op_J2_S3,M5,Machine0,operation complete
107,363.0,J2,Op_J2_S4,M3,,Job transferred
108,363.0,J6,Op_J6_S3,M5,Machine0,job assigned
109,371.0,J7,Op_J7_S3,M2,Machine0,operation complete
110,371.0,J7,Op_J7_S4,M3,,Job transferred
111,371.0,J10,Op_J10_S4,M2,Machine0,job assigned
112,381.0,J5,Op_J5_S3,M3,Machine0,operation complete
113,381.0,J5,Op_J5_S4,M2,,Job transferred
114,381.0,J2,Op_J2_S4,M3,Machine0,job assigned
115,402.0,J1,Op_J1_S4,M4,Machine0,operation complete
116,402.0,J1,Op_J1_S5,M3,,Job transferred
117,407.0,J2,Op_J2_S4,M3,Machine0,operation complete
118,407.0,J2,Op_J2_S5,M2,,Job transferred
119,407.0,J7,Op_J7_S4,M3,Machine0,job assigned
120,442.0,J6,Op_J6_S3,M5,Machine0,operation complete
121,442.0,J6,Op_J6_S4,M1,Machine0,job assigned
122,442.0,J6,Op_J6_S4,M1,,Job transferred
123,442.0,J9,Op_J9_S3,M5,Machine0,job assigned
124,446.0,J10,Op_J10_S4,M2,Machine0,operation complete
125,446.0,J10,Op_J10_S5,M1,,Job transferred
126,446.0,J5,Op_J5_S4,M2,Machine0,job assigned
127,465.0,J5,Op_J5_S4,M2,Machine0,operation complete
128,465.0,J5,Op_J5_S5,M5,,Job transferred
129,465.0,J2,Op_J2_S5,M2,Machine0,job assigned
130,467.0,J9,Op_J9_S3,M5,Machine0,operation complete
131,467.0,J9,Op_J9_S4,M1,,Job transferred
132,467.0,J4,Op_J4_S3,M5,Machine0,job assigned
133,494.0,J7,Op_J7_S4,M3,Machine0,operation complete
134,494.0,J7,Op_J7_S5,M1,,Job transferred
135,494.0,J1,Op_J1_S5,M3,Machine0,job assigned
136,528.0,J1,Op_J1_S5,M3,Machine0,operation complete
137,528.0,J1,,Sink,,Job transferred
138,534.0,J6,Op_J6_S4,M1,Machine0,operation complete
139,534.0,J6,Op_J6_S5,M4,Machine0,job assigned
140,534.0,J6,Op_J6_S5,M4,,Job transferred
141,534.0,J10,Op_J10_S5,M1,Machine0,job assigned
142,536.0,J2,Op_J2_S5,M2,Machine0,operation complete
143,536.0,J2,,Sink,,Job transferred
144,546.0,J4,Op_J4_S3,M5,Machine0,operation complete
145,546.0,J4,Op_J4_S4,M3,Machine0,job assigned
146,546.0,J4,Op_J4_S4,M3,,Job transferred
147,546.0,J8,Op_J8_S5,M5,Machine0,job assigned
148,596.0,J6,Op_J6_S5,M4,Machine0,operation complete
149,596.0,J6,,Sink,,Job transferred
150,612.0,J4,Op_J4_S4,M3,Machine0,operation complete
151,612.0,J4,Op_J4_S5,M4,Machine0,job assigned
152,612.0,J4,Op_J4_S5,M4,,Job transferred
153,629.0,J8,Op_J8_S5,M5,Machine0,operation complete
154,629.0,J8,,Sink,,Job transferred
155,629.0,J5,Op_J5_S5,M5,Machine0,job assigned
156,630.0,J10,Op_J10_S5,M1,Machine0,operation complete
157,630.0,J10,,Sink,,Job transferred
158,630.0,J9,Op_J9_S4,M1,Machine0,job assigned
159,666.0,J5,Op_J5_S5,M5,Machine0,operation complete
160,666.0,J5,,Sink,,Job transferred
161,674.0,J9,Op_J9_S4,M1,Machine0,operation complete
162,674.0,J9,Op_J9_S5,M3,Machine0,job assigned
163,674.0,J9,Op_J9_S5,M3,,Job transferred
164,674.0,J7,Op_J7_S5,M1,Machine0,job assigned
165,689.0,J4,Op_J4_S5,M4,Machine0,operation complete
166,689.0,J4,,Sink,,Job transferred
167,767.0,J7,Op_J7_S5,M1,Machine0,operation complete
168,767.0,J7,,Sink,,Job transferred
169,772.0,J9,Op_J9_S5,M3,Machine0,operation complete
170,772.0,J9,,Sink,,Job transferred
