id,process,time
Op_J5_S7,M12,9.0
Op_J5_S8,M15,98.0
Op_J5_S9,M8,50.0
Op_J5_S10,M6,37.0
Op_J5_S11,M5,8.0
Op_J5_S12,M9,65.0
Op_J5_S13,M2,90.0
Op_J5_S14,M13,91.0
Op_J5_S15,M7,71.0
Op_J6_S1,M12,35.0
Op_J6_S2,M7,80.0
Op_J6_S3,M5,39.0
Op_J6_S4,M4,62.0
Op_J6_S5,M15,74.0
Op_J6_S6,M6,72.0
Op_J6_S7,M11,35.0
Op_J6_S8,M10,25.0
Op_J6_S9,M2,49.0
Op_J6_S10,M9,52.0
Op_J6_S11,M8,63.0
Op_J6_S12,M3,90.0
Op_J6_S13,M14,21.0
Op_J6_S14,M13,47.0
Op_J6_S15,M1,38.0
Op_J7_S1,M15,19.0
Op_J7_S2,M8,57.0
Op_J7_S3,M11,24.0
Op_J7_S4,M14,91.0
Op_J7_S5,M4,50.0
Op_J7_S6,M1,5.0
Op_J7_S7,M12,49.0
Op_J7_S8,M13,18.0
Op_J7_S9,M10,58.0
Op_J7_S10,M6,24.0
Op_J7_S11,M9,52.0
Op_J7_S12,M2,88.0
Op_J7_S13,M3,68.0
Op_J7_S14,M7,20.0
Op_J7_S15,M5,53.0
Op_J8_S1,M8,77.0
Op_J8_S2,M15,72.0
Op_J8_S3,M6,35.0
Op_J8_S4,M12,90.0
Op_J8_S5,M5,68.0
Op_J8_S6,M7,18.0
Op_J8_S7,M4,9.0
Op_J8_S8,M1,33.0
Op_J8_S9,M9,60.0
Op_J8_S10,M11,18.0
Op_J8_S11,M13,10.0
Op_J8_S12,M14,60.0
Op_J8_S13,M2,38.0
Op_J8_S14,M3,99.0
Op_J8_S15,M10,15.0
Op_J9_S1,M14,6.0
Op_J9_S2,M9,86.0
Op_J9_S3,M3,40.0
Op_J9_S4,M10,79.0
Op_J9_S5,M13,92.0
Op_J9_S6,M12,23.0
Op_J9_S7,M6,89.0
Op_J9_S8,M11,95.0
Op_J9_S9,M7,91.0
Op_J9_S10,M8,72.0
Op_J9_S11,M1,80.0
Op_J9_S12,M2,60.0
Op_J9_S13,M4,56.0
Op_J9_S14,M5,51.0
Op_J9_S15,M15,23.0
Op_J10_S1,M2,46.0
Op_J10_S2,M7,28.0
Op_J10_S3,M6,34.0
Op_J10_S4,M12,77.0
Op_J10_S5,M5,47.0
Op_J10_S6,M1,10.0
Op_J10_S7,M15,49.0
Op_J10_S8,M9,77.0
Op_J10_S9,M11,48.0
Op_J10_S10,M8,24.0
Op_J10_S11,M13,8.0
Op_J10_S12,M3,72.0
Op_J10_S13,M14,55.0
Op_J10_S14,M10,29.0
Op_J10_S15,M4,40.0
Op_J11_S1,M11,22.0
Op_J11_S2,M5,89.0
Op_J11_S3,M13,79.0
Op_J11_S4,M1,7.0
Op_J11_S5,M10,15.0
Op_J11_S6,M2,6.0
Op_J11_S7,M12,30.0
Op_J11_S8,M7,38.0
Op_J11_S9,M6,11.0
Op_J11_S10,M9,52.0
Op_J11_S11,M4,20.0
Op_J11_S12,M8,5.0
Op_J11_S13,M15,9.0
Op_J11_S14,M3,20.0
Op_J11_S15,M14,28.0
Op_J12_S1,M6,73.0
Op_J12_S2,M15,56.0
Op_J12_S3,M3,37.0
Op_J12_S4,M4,22.0
Op_J12_S5,M14,25.0
Op_J12_S6,M7,58.0
Op_J12_S7,M2,8.0
Op_J12_S8,M8,93.0
Op_J12_S9,M5,88.0
Op_J12_S10,M9,17.0
Op_J12_S11,M13,9.0
Op_J12_S12,M12,69.0
Op_J12_S13,M11,71.0
Op_J12_S14,M10,85.0
Op_J12_S15,M1,55.0
Op_J13_S1,M10,85.0
Op_J13_S2,M15,58.0
Op_J13_S3,M4,46.0
Op_J13_S4,M9,64.0
Op_J13_S5,M3,49.0
Op_J13_S6,M7,37.0
Op_J13_S7,M2,33.0
Op_J13_S8,M5,30.0
Op_J13_S9,M6,26.0
Op_J13_S10,M1,20.0
Op_J13_S11,M14,74.0
Op_J13_S12,M11,77.0
Op_J13_S13,M13,99.0
Op_J13_S14,M12,56.0
Op_J13_S15,M8,21.0
Op_J14_S1,M11,17.0
Op_J14_S2,M4,24.0
Op_J14_S3,M5,89.0
Op_J14_S4,M6,15.0
Op_J14_S5,M12,60.0
Op_J14_S6,M2,42.0
Op_J14_S7,M9,98.0
Op_J14_S8,M3,64.0
Op_J14_S9,M14,92.0
Op_J14_S10,M1,63.0
Op_J14_S11,M8,52.0
Op_J14_S12,M13,54.0
Op_J14_S13,M7,75.0
Op_J14_S14,M15,23.0
Op_J14_S15,M10,38.0
Op_J15_S1,M4,8.0
Op_J15_S2,M6,17.0
Op_J15_S3,M12,56.0
Op_J15_S4,M8,93.0
Op_J15_S5,M15,26.0
Op_J15_S6,M10,62.0
Op_J15_S7,M7,7.0
Op_J15_S8,M11,88.0
Op_J15_S9,M1,97.0
Op_J15_S10,M2,7.0
Op_J15_S11,M3,43.0
Op_J15_S12,M9,29.0
Op_J15_S13,M14,35.0
Op_J15_S14,M13,87.0
Op_J15_S15,M5,57.0
