id,arrival_time,weight,op1_id,op1_time
J93,0.0,54.0,Op_J93_S1,"[23, 35, 95, 88, 59]"
J94,0.0,30.0,Op_J94_S1,"[23, 35, 95, 88, 59]"
J95,0.0,18.0,Op_J95_S1,"[23, 35, 95, 88, 59]"
J96,0.0,47.0,Op_J96_S1,"[23, 35, 95, 88, 59]"
J97,0.0,68.0,Op_J97_S1,"[23, 35, 95, 88, 59]"
J98,0.0,10.0,Op_J98_S1,"[23, 35, 95, 88, 59]"
J99,0.0,83.0,Op_J99_S1,"[23, 35, 95, 88, 59]"
J100,0.0,66.0,Op_J100_S1,"[23, 35, 95, 88, 59]"
J101,0.0,4.0,Op_J101_S1,"[23, 35, 95, 88, 59]"
J102,0.0,70.0,Op_J102_S1,"[23, 35, 95, 88, 59]"
J103,0.0,49.0,Op_J103_S1,"[23, 35, 95, 88, 59]"
J104,0.0,78.0,Op_J104_S1,"[23, 35, 95, 88, 59]"
J105,0.0,88.0,Op_J105_S1,"[23, 35, 95, 88, 59]"
J106,0.0,10.0,Op_J106_S1,"[23, 35, 95, 88, 59]"
J107,0.0,42.0,Op_J107_S1,"[23, 35, 95, 88, 59]"
J108,0.0,58.0,Op_J108_S1,"[23, 35, 95, 88, 59]"
J109,0.0,1.0,Op_J109_S1,"[23, 35, 95, 88, 59]"
J110,0.0,25.0,Op_J110_S1,"[23, 35, 95, 88, 59]"
J111,0.0,49.0,Op_J111_S1,"[23, 35, 95, 88, 59]"
J112,0.0,65.0,Op_J112_S1,"[23, 35, 95, 88, 59]"
J113,0.0,19.0,Op_J113_S1,"[23, 35, 95, 88, 59]"
J114,0.0,49.0,Op_J114_S1,"[23, 35, 95, 88, 59]"
J115,0.0,27.0,Op_J115_S1,"[23, 35, 95, 88, 59]"
J116,0.0,64.0,Op_J116_S1,"[23, 35, 95, 88, 59]"
J117,0.0,10.0,Op_J117_S1,"[23, 35, 95, 88, 59]"
J118,0.0,34.0,Op_J118_S1,"[23, 35, 95, 88, 59]"
J119,0.0,87.0,Op_J119_S1,"[23, 35, 95, 88, 59]"
J120,0.0,99.0,Op_J120_S1,"[23, 35, 95, 88, 59]"
J121,0.0,72.0,Op_J121_S1,"[23, 35, 95, 88, 59]"
J122,0.0,21.0,Op_J122_S1,"[23, 35, 95, 88, 59]"
J123,0.0,80.0,Op_J123_S1,"[23, 35, 95, 88, 59]"
J124,0.0,87.0,Op_J124_S1,"[23, 35, 95, 88, 59]"
J125,0.0,13.0,Op_J125_S1,"[23, 35, 95, 88, 59]"
J126,0.0,78.0,Op_J126_S1,"[23, 35, 95, 88, 59]"
J127,0.0,72.0,Op_J127_S1,"[23, 35, 95, 88, 59]"
J128,0.0,5.0,Op_J128_S1,"[23, 35, 95, 88, 59]"
J129,0.0,79.0,Op_J129_S1,"[23, 35, 95, 88, 59]"
J130,0.0,56.0,Op_J130_S1,"[23, 35, 95, 88, 59]"
J131,0.0,100.0,Op_J131_S1,"[23, 35, 95, 88, 59]"
J132,0.0,76.0,Op_J132_S1,"[23, 35, 95, 88, 59]"
J133,0.0,65.0,Op_J133_S1,"[23, 35, 95, 88, 59]"
J134,0.0,72.0,Op_J134_S1,"[23, 35, 95, 88, 59]"
J135,0.0,46.0,Op_J135_S1,"[23, 35, 95, 88, 59]"
J136,0.0,29.0,Op_J136_S1,"[23, 35, 95, 88, 59]"
J137,0.0,17.0,Op_J137_S1,"[23, 35, 95, 88, 59]"
J138,0.0,97.0,Op_J138_S1,"[23, 35, 95, 88, 59]"
J139,0.0,81.0,Op_J139_S1,"[23, 35, 95, 88, 59]"
J140,0.0,91.0,Op_J140_S1,"[23, 35, 95, 88, 59]"
J141,0.0,59.0,Op_J141_S1,"[23, 35, 95, 88, 59]"
J142,0.0,10.0,Op_J142_S1,"[23, 35, 95, 88, 59]"
J143,0.0,58.0,Op_J143_S1,"[23, 35, 95, 88, 59]"
J144,0.0,44.0,Op_J144_S1,"[23, 35, 95, 88, 59]"
J145,0.0,76.0,Op_J145_S1,"[23, 35, 95, 88, 59]"
J146,0.0,4.0,Op_J146_S1,"[23, 35, 95, 88, 59]"
J147,0.0,8.0,Op_J147_S1,"[23, 35, 95, 88, 59]"
J148,0.0,3.0,Op_J148_S1,"[23, 35, 95, 88, 59]"
J149,0.0,97.0,Op_J149_S1,"[23, 35, 95, 88, 59]"
J150,0.0,29.0,Op_J150_S1,"[23, 35, 95, 88, 59]"
J151,0.0,97.0,Op_J151_S1,"[23, 35, 95, 88, 59]"
J152,0.0,27.0,Op_J152_S1,"[23, 35, 95, 88, 59]"
J153,0.0,29.0,Op_J153_S1,"[23, 35, 95, 88, 59]"
J154,0.0,71.0,Op_J154_S1,"[23, 35, 95, 88, 59]"
J155,0.0,43.0,Op_J155_S1,"[23, 35, 95, 88, 59]"
J156,0.0,50.0,Op_J156_S1,"[23, 35, 95, 88, 59]"
J157,0.0,81.0,Op_J157_S1,"[23, 35, 95, 88, 59]"
J158,0.0,40.0,Op_J158_S1,"[23, 35, 95, 88, 59]"
J159,0.0,61.0,Op_J159_S1,"[23, 35, 95, 88, 59]"
J160,0.0,56.0,Op_J160_S1,"[23, 35, 95, 88, 59]"
J161,0.0,80.0,Op_J161_S1,"[23, 35, 95, 88, 59]"
J162,0.0,2.0,Op_J162_S1,"[23, 35, 95, 88, 59]"
J163,0.0,61.0,Op_J163_S1,"[23, 35, 95, 88, 59]"
J164,0.0,29.0,Op_J164_S1,"[23, 35, 95, 88, 59]"
J165,0.0,15.0,Op_J165_S1,"[23, 35, 95, 88, 59]"
J166,0.0,99.0,Op_J166_S1,"[23, 35, 95, 88, 59]"
J167,0.0,94.0,Op_J167_S1,"[23, 35, 95, 88, 59]"
J168,0.0,80.0,Op_J168_S1,"[23, 35, 95, 88, 59]"
J169,0.0,22.0,Op_J169_S1,"[23, 35, 95, 88, 59]"
J170,0.0,27.0,Op_J170_S1,"[23, 35, 95, 88, 59]"
J171,0.0,79.0,Op_J171_S1,"[23, 35, 95, 88, 59]"
J172,0.0,19.0,Op_J172_S1,"[23, 35, 95, 88, 59]"
J173,0.0,94.0,Op_J173_S1,"[23, 35, 95, 88, 59]"
J174,0.0,6.0,Op_J174_S1,"[23, 35, 95, 88, 59]"
J175,0.0,46.0,Op_J175_S1,"[23, 35, 95, 88, 59]"
J176,0.0,83.0,Op_J176_S1,"[23, 35, 95, 88, 59]"
J177,0.0,80.0,Op_J177_S1,"[23, 35, 95, 88, 59]"
J178,0.0,54.0,Op_J178_S1,"[23, 35, 95, 88, 59]"
J179,0.0,44.0,Op_J179_S1,"[23, 35, 95, 88, 59]"
J180,0.0,40.0,Op_J180_S1,"[23, 35, 95, 88, 59]"
J181,0.0,19.0,Op_J181_S1,"[23, 35, 95, 88, 59]"
J182,0.0,57.0,Op_J182_S1,"[23, 35, 95, 88, 59]"
J183,0.0,30.0,Op_J183_S1,"[23, 35, 95, 88, 59]"
J184,0.0,76.0,Op_J184_S1,"[23, 35, 95, 88, 59]"
J185,0.0,54.0,Op_J185_S1,"[23, 35, 95, 88, 59]"
J186,0.0,19.0,Op_J186_S1,"[23, 35, 95, 88, 59]"
J187,0.0,33.0,Op_J187_S1,"[23, 35, 95, 88, 59]"
J188,0.0,93.0,Op_J188_S1,"[23, 35, 95, 88, 59]"
J189,0.0,38.0,Op_J189_S1,"[23, 35, 95, 88, 59]"
J190,0.0,78.0,Op_J190_S1,"[23, 35, 95, 88, 59]"
J191,0.0,57.0,Op_J191_S1,"[23, 35, 95, 88, 59]"
J192,0.0,59.0,Op_J192_S1,"[23, 35, 95, 88, 59]"
J193,0.0,62.0,Op_J193_S1,"[23, 35, 95, 88, 59]"
J194,0.0,76.0,Op_J194_S1,"[23, 35, 95, 88, 59]"
J195,0.0,65.0,Op_J195_S1,"[23, 35, 95, 88, 59]"
J196,0.0,36.0,Op_J196_S1,"[23, 35, 95, 88, 59]"
J197,0.0,92.0,Op_J197_S1,"[23, 35, 95, 88, 59]"
J198,0.0,45.0,Op_J198_S1,"[23, 35, 95, 88, 59]"
J199,0.0,17.0,Op_J199_S1,"[23, 35, 95, 88, 59]"
J200,0.0,59.0,Op_J200_S1,"[23, 35, 95, 88, 59]"
