id,job_id,process,time,weight
Op_J125_S1,J125,"M1,M2,M3,M4,M5","57,86,94,48,20",13.0
Op_J126_S1,J126,"M1,M2,M3,M4,M5","38,98,13,82,99",78.0
Op_J127_S1,J127,"M1,M2,M3,M4,M5","69,65,69,73,25",72.0
Op_J128_S1,J128,"M1,M2,M3,M4,M5","22,100,15,47,81",5.0
Op_J129_S1,J129,"M1,M2,M3,M4,M5","59,68,62,99,69",79.0
Op_J130_S1,J130,"M1,M2,M3,M4,M5","39,69,96,36,27",56.0
Op_J131_S1,J131,"M1,M2,M3,M4,M5","10,66,29,46,73",100.0
Op_J132_S1,J132,"M1,M2,M3,M4,M5","31,91,45,49,90",76.0
Op_J133_S1,J133,"M1,M2,M3,M4,M5","57,15,56,24,93",65.0
Op_J134_S1,J134,"M1,M2,M3,M4,M5","65,18,64,95,71",72.0
Op_J135_S1,J135,"M1,M2,M3,M4,M5","63,17,20,36,15",46.0
Op_J136_S1,J136,"M1,M2,M3,M4,M5","62,17,58,95,38",29.0
Op_J137_S1,J137,"M1,M2,M3,M4,M5","70,47,49,87,47",17.0
Op_J138_S1,J138,"M1,M2,M3,M4,M5","90,21,14,57,72",97.0
Op_J139_S1,J139,"M1,M2,M3,M4,M5","22,91,27,37,57",81.0
Op_J140_S1,J140,"M1,M2,M3,M4,M5","26,25,77,15,79",91.0
Op_J141_S1,J141,"M1,M2,M3,M4,M5","42,72,48,12,44",59.0
Op_J142_S1,J142,"M1,M2,M3,M4,M5","73,87,92,43,22",10.0
Op_J143_S1,J143,"M1,M2,M3,M4,M5","79,24,25,24,76",58.0
Op_J144_S1,J144,"M1,M2,M3,M4,M5","51,94,63,17,38",44.0
Op_J145_S1,J145,"M1,M2,M3,M4,M5","85,32,59,81,96",76.0
Op_J146_S1,J146,"M1,M2,M3,M4,M5","33,62,100,48,54",4.0
Op_J147_S1,J147,"M1,M2,M3,M4,M5","97,21,65,50,47",8.0
Op_J148_S1,J148,"M1,M2,M3,M4,M5","16,28,66,46,67",3.0
Op_J149_S1,J149,"M1,M2,M3,M4,M5","63,50,18,36,51",97.0
Op_J150_S1,J150,"M1,M2,M3,M4,M5","60,57,31,36,81",29.0
Op_J151_S1,J151,"M1,M2,M3,M4,M5","92,100,78,93,41",97.0
Op_J152_S1,J152,"M1,M2,M3,M4,M5","84,27,32,73,94",27.0
Op_J153_S1,J153,"M1,M2,M3,M4,M5","79,78,64,95,88",29.0
Op_J154_S1,J154,"M1,M2,M3,M4,M5","49,78,54,86,28",71.0
Op_J155_S1,J155,"M1,M2,M3,M4,M5","95,98,37,46,16",43.0
Op_J156_S1,J156,"M1,M2,M3,M4,M5","83,48,91,97,39",50.0
Op_J157_S1,J157,"M1,M2,M3,M4,M5","38,96,59,28,88",81.0
Op_J158_S1,J158,"M1,M2,M3,M4,M5","23,23,34,59,78",40.0
Op_J159_S1,J159,"M1,M2,M3,M4,M5","33,96,61,55,62",61.0
Op_J160_S1,J160,"M1,M2,M3,M4,M5","92,82,38,63,69",56.0
Op_J161_S1,J161,"M1,M2,M3,M4,M5","38,88,29,71,37",80.0
Op_J162_S1,J162,"M1,M2,M3,M4,M5","97,10,66,56,28",2.0
Op_J163_S1,J163,"M1,M2,M3,M4,M5","15,63,39,90,49",61.0
Op_J164_S1,J164,"M1,M2,M3,M4,M5","62,30,77,61,50",29.0
Op_J165_S1,J165,"M1,M2,M3,M4,M5","87,12,82,35,95",15.0
Op_J166_S1,J166,"M1,M2,M3,M4,M5","78,13,56,42,46",99.0
Op_J167_S1,J167,"M1,M2,M3,M4,M5","36,42,59,55,92",94.0
Op_J168_S1,J168,"M1,M2,M3,M4,M5","99,12,63,89,53",80.0
Op_J169_S1,J169,"M1,M2,M3,M4,M5","60,90,74,22,51",22.0
Op_J170_S1,J170,"M1,M2,M3,M4,M5","94,92,81,81,97",27.0
Op_J171_S1,J171,"M1,M2,M3,M4,M5","93,34,89,87,47",79.0
Op_J172_S1,J172,"M1,M2,M3,M4,M5","23,58,57,94,37",19.0
Op_J173_S1,J173,"M1,M2,M3,M4,M5","39,11,47,98,44",94.0
Op_J174_S1,J174,"M1,M2,M3,M4,M5","86,50,77,45,35",6.0
Op_J175_S1,J175,"M1,M2,M3,M4,M5","24,45,26,92,35",46.0
Op_J176_S1,J176,"M1,M2,M3,M4,M5","19,51,53,59,41",83.0
Op_J177_S1,J177,"M1,M2,M3,M4,M5","24,25,51,22,86",80.0
Op_J178_S1,J178,"M1,M2,M3,M4,M5","62,32,65,97,57",54.0
Op_J179_S1,J179,"M1,M2,M3,M4,M5","17,34,40,59,66",44.0
Op_J180_S1,J180,"M1,M2,M3,M4,M5","38,76,41,45,57",40.0
Op_J181_S1,J181,"M1,M2,M3,M4,M5","95,58,45,75,81",19.0
Op_J182_S1,J182,"M1,M2,M3,M4,M5","38,81,19,44,38",57.0
Op_J183_S1,J183,"M1,M2,M3,M4,M5","77,26,16,50,73",30.0
Op_J184_S1,J184,"M1,M2,M3,M4,M5","44,61,97,32,20",76.0
Op_J185_S1,J185,"M1,M2,M3,M4,M5","90,54,44,50,76",54.0
Op_J186_S1,J186,"M1,M2,M3,M4,M5","77,72,52,27,44",19.0
Op_J187_S1,J187,"M1,M2,M3,M4,M5","85,45,56,47,52",33.0
Op_J188_S1,J188,"M1,M2,M3,M4,M5","42,18,93,72,41",93.0
Op_J189_S1,J189,"M1,M2,M3,M4,M5","63,22,66,88,18",38.0
Op_J190_S1,J190,"M1,M2,M3,M4,M5","97,84,55,61,48",78.0
Op_J191_S1,J191,"M1,M2,M3,M4,M5","81,15,62,11,74",57.0
Op_J192_S1,J192,"M1,M2,M3,M4,M5","46,44,19,94,67",59.0
Op_J193_S1,J193,"M1,M2,M3,M4,M5","22,30,60,65,41",62.0
Op_J194_S1,J194,"M1,M2,M3,M4,M5","68,36,28,94,32",76.0
Op_J195_S1,J195,"M1,M2,M3,M4,M5","12,35,51,58,41",65.0
Op_J196_S1,J196,"M1,M2,M3,M4,M5","90,37,42,13,18",36.0
Op_J197_S1,J197,"M1,M2,M3,M4,M5","43,40,62,46,23",92.0
Op_J198_S1,J198,"M1,M2,M3,M4,M5","62,40,18,14,95",45.0
Op_J199_S1,J199,"M1,M2,M3,M4,M5","36,45,93,76,56",17.0
Op_J200_S1,J200,"M1,M2,M3,M4,M5","88,16,40,36,87",59.0
